path,s_X,s_Y,e_X,e_Y
/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,93,140,263,372
/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,102,117,258,337
/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,112,135,263,337
/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,100,146,259,350
/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,105,116,260,327
/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,91,113,246,326
/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,103,133,259,339
/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,89,134,264,360
/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,95,159,266,377
/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,99,105,264,318
/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,92,161,254,362
/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,103,162,265,382
/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,93,166,268,387
/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,89,157,259,371
/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,95,126,286,405
/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,88,127,271,387
/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,86,129,257,360
/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,84,130,281,420
/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,71,128,261,392
/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,77,118,281,410
/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,93,134,276,389
/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,75,130,266,392
/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,89,130,283,377
/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,98,120,269,346
/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,101,146,276,396
/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,86,129,285,381
/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,77,123,268,377
/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,94,141,275,380
/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,99,142,270,378
/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,75,120,261,369
/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,115,155,250,331
/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,91,163,242,379
/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,91,149,254,361
/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,100,130,280,367
/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,86,159,247,386
/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,80,142,251,375
/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,103,150,234,318
/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,90,160,249,383
